,username,accdescri,location,following,followers,totaltweets,usercreateti,tweetcreateti,retweetcount,text
24,Yergalemweldu,Reserved,,256,70,1625,11/7/2020 3:24,4/14/2021 23:53,0,"Displaced Tigrayans ""recalled wanton slaughter, the destruction of crops and livelihoods, and tens of thousands fleeing from areas of #Ethiopia’s #Tigray region under #Eritrea|n military control."" #UNSCActNow @CanadaFP @SVG_UN @PmTunisia #TigrayGenocide
https://t.co/soG1TkN2SP"
25,HagereyTigray1,Proud Tigraway from the Republic of Tigray,USA,251,55,270,1/16/2021 1:08,4/14/2021 23:53,0,#Ethiopia has detained over 17K ethnic #Tigray|an military officer who has tirelessly served the country. Their whereabouts are unknown apart from reports that they are kept in concentration camps in inhumane conditions. #TigrayGenocide #WhereAreTigrayanENDFs @mbachelet @hrw
26,AtsbahaHenok,Technical Engineer,,751,1476,1033,11/5/2020 22:05,4/14/2021 23:53,1,"A five-year-old Merhawit was shot in the leg and her uncle was shot to death as he shielded her from bullets fired at them by the Eritrean and Ethiopian forces. Justice for Merhawit and her uncle. #TembienMassacre #TigrayGenocide @RepGregoryMeeks @RepMcCaul
@EU_Commission"
27,haftu_genet,,,187,142,1339,11/6/2020 12:05,4/14/2021 23:53,0,The Eritrean and Amhara forces shot innocent Tigrayans point-blank and reduced their humanity by leaving their dead bodies scattered all over the place. They have made their innocent bodies food to the wild beasts and birds. This is genocide! #TembienMassacre #TigrayGenocide
28,Yergalemweldu,Reserved,,256,70,1625,11/7/2020 3:24,4/14/2021 23:52,1,"House searches,looting,killings, &amp; #SGBV against civilians continue to be reported. The Amhara forces are equally responsible for the atrocities committed in the ongoing #TigrayGenocide.@CanadaFP @stejobin @SecBlinken @irishmissionun @LindaT_G @Niger_ONU 
https://t.co/W0FP6meiHT"
29,PsFy6EwFbotCECW,IStandWithTigray,,764,333,2070,12/3/2020 15:22,4/14/2021 23:52,0,"@KVONBATTEN Here @AbiyAhmedAli general proudly bragging how they have used everything they have, tanks, fighter jets, attack helicopters, long range missiles &amp; artillery shelling this week...to kill our people, burn our houses, churches etc

#WarCrime"
30,Stateless_John,A mistake repeated more than once is a decision. Paulo Coelho,,172,21,168,2/16/2021 2:27,4/14/2021 23:52,0,"@MohanadElbalal - Mizmure Yared
- Axum Civilization
- The battle of Adwa 
Just to name few that are held dearly by #TigrayGenocide enablers"
31,Desta12298286,"Student at University of Bergen, Norway.

Lecture @Mekelle University","Bergen, Nederland",253,180,1283,3/18/2021 3:09,4/14/2021 23:52,0,"Examples of crimes against humanity: deliberate killing of civilians, torture, rape, destroying property; which all has been committed in the #TigrayGenocide. There is a Right to Protect. #UNSCActNow 
@IntlCrimCourt @KarimKhanQC #FatouBensouda @hrw 
https://t.co/jDs4Ccf634"
32,AtsbahaHenok,Technical Engineer,,751,1476,1033,11/5/2020 22:05,4/14/2021 23:52,1,"""It took five days for their father, Araya Gebretekle, and his eldest son, Mebrahten Araya, to find the bodies of their loved ones.” #Tembienmassacre #TigrayGenocide @MedvedevRussiaE @SecBlinken @amnesty @POTUS @EU_Commission @ChrisCoons @VP @RandPaul https://t.co/05fWby4UDz"
33,haftu_genet,,,187,142,1339,11/6/2020 12:05,4/14/2021 23:52,0,"A five-year-old Merhawit was shot in the leg and her uncle was shot to death as he shielded her from bullets fired at them by the Eritrean and Ethiopian forces. Justice for Merhawit and her uncle. #TembienMassacre #TigrayGenocide @RepGregoryMeeks @RepMcCaul
@EU_Commission"
